event_index,timestamp_s,foot_index,foot_name,is_new_contact,body_x,body_y,body_z
0,0.013732433319,1,FR,0,0.346935451031,-0.085262663662,-0.513376712799
0,0.013732433319,2,RL,0,-0.248132288456,0.086154669523,-0.513863801956
1,0.123033761978,1,FR,0,0.264846622944,-0.089347764850,-0.519505321980
1,0.123033761978,2,RL,0,-0.329628288746,0.083931401372,-0.519604086876
2,0.224120616913,1,FR,0,0.158111274242,-0.088855490088,-0.512038290501
2,0.224120616913,2,RL,0,-0.436665356159,0.083517923951,-0.512932837009
3,0.254441738129,0,FL,1,0.458189040422,0.076338611543,-0.512523770332
3,0.254441738129,3,RR,1,-0.136966943741,-0.094330020249,-0.517351090908
4,0.355288505554,0,FL,0,0.352884680033,0.078432783484,-0.514308094978
4,0.355288505554,3,RR,0,-0.243157327175,-0.092775166035,-0.519837319851
5,0.461084842682,0,FL,0,0.266307353973,0.082381308079,-0.520589351654
5,0.461084842682,3,RR,0,-0.330574303865,-0.090172827244,-0.526836872101
6,0.563757896423,0,FL,0,0.193811312318,0.083814233541,-0.517579734325
6,0.563757896423,3,RR,0,-0.404020309448,-0.088740855455,-0.523279905319
7,0.613303661346,0,FL,0,0.124791301787,0.083258345723,-0.509902596474
7,0.613303661346,1,FR,1,0.471084505320,-0.087119713426,-0.513144433498
7,0.613303661346,3,RR,0,-0.472044914961,-0.089223891497,-0.513638436794
8,0.624875545502,0,FL,0,0.120024241507,0.083639115095,-0.508953392506
8,0.624875545502,1,FR,0,0.462978661060,-0.088674053550,-0.514093637466
8,0.624875545502,2,RL,1,-0.133729815483,0.082815468311,-0.513725459576
8,0.624875545502,3,RR,0,-0.476686716080,-0.089624062181,-0.512508749962
9,0.741307735443,1,FR,0,0.361174464226,-0.086813196540,-0.510051429272
9,0.741307735443,2,RL,0,-0.234392672777,0.085310928524,-0.513320267200
10,0.844187498093,1,FR,0,0.267755985260,-0.091612473130,-0.515519678593
10,0.844187498093,2,RL,0,-0.327149212360,0.083204731345,-0.520147502422
11,0.953168153763,1,FR,0,0.176946461201,-0.092449508607,-0.511415004730
11,0.953168153763,2,RL,0,-0.417989194393,0.081466466188,-0.516038179398
12,0.988849639893,0,FL,1,0.469543009996,0.076414428651,-0.508055448532
12,0.988849639893,1,FR,0,0.134435832500,-0.091460540891,-0.507285475731
12,0.988849639893,2,RL,0,-0.460038065910,0.083154574037,-0.511293292046
13,1.002382278442,0,FL,0,0.464194178581,0.078145787120,-0.507992446423
13,1.002382278442,3,RR,1,-0.135926723480,-0.092765696347,-0.515401184559
14,1.110270261765,0,FL,0,0.368177831173,0.080040499568,-0.508838951588
14,1.110270261765,3,RR,0,-0.231152802706,-0.091561824083,-0.518208503723
15,1.218403577805,0,FL,0,0.281729578972,0.081415697932,-0.517263174057
15,1.218403577805,3,RR,0,-0.318388104439,-0.091787323356,-0.526255965233
16,1.331689357758,0,FL,0,0.169288381934,0.082959733903,-0.512563228607
16,1.331689357758,3,RR,0,-0.431394755840,-0.089929796755,-0.519412696362
17,1.378795862198,1,FR,1,0.458443164825,-0.082885980606,-0.516591072083
17,1.378795862198,2,RL,1,-0.137089699507,0.087261527777,-0.513837814331
18,1.480903863907,1,FR,0,0.356779158115,-0.084473133087,-0.515115499496
18,1.480903863907,2,RL,0,-0.237647712231,0.086215883493,-0.515439271927
19,1.584373235703,1,FR,0,0.269878208637,-0.088917031884,-0.520798444748
19,1.584373235703,2,RL,0,-0.323973447084,0.083742767572,-0.520984053612
20,1.685187578201,1,FR,0,0.179212629795,-0.091776907444,-0.516043782234
20,1.685187578201,2,RL,0,-0.414888083935,0.080340594053,-0.516856372356
21,1.770827770233,0,FL,1,0.462418735027,0.084157593548,-0.509157896042
21,1.770827770233,3,RR,1,-0.134529948235,-0.087839037180,-0.514444649220
22,1.881243467331,0,FL,0,0.333853006363,0.084529839456,-0.512115955353
