,Ron Arkin,Andrea Thomaz,Ayanna Howard,Wayne Book,Mike Stilman,Charlie Kemp,Jun Ueda,Patricio Vela,Magnus Egerstedt,Harvey Lipkin,Frank Dellaert,Irfan Essa,Aaron Bobick,Jim Rehg,Henrik Christensen,Tucker Balch,Karen Feigh,N/A 1,N/A 2
Mon 9:00-10.30,,1,1,1,1,,1,1,,,1,,,,1,,,1,1
Mon 10:30-12:00,,1,1,1,1,,,1,1,,,,,,,,,1,1
Mon 1:30-3:00,,,1,,,1,1,1,1,1,1,,,,1,,,1,1
Mon 3:00-4:30,,,,1,,1,1,1,,1,1,1,,1,1,,,1,1
Tue 9:00-10.30,,,1,,,,,1,,1,1,,,1,1,,,1,1
Tue 10:30-12:00,,,1,1,1,,1,1,,1,1,,,1,,1,,1,1
Tue 1:30-3:00,,1,,1,1,,1,1,1,1,1,,,,,1,,1,1
Tue 3:00-4:30,,1,1,,,,,1,1,1,1,,,,1,1,,1,1
Wed 9:00-10.30,,,1,1,,,,,1,,1,,1,,1,,1,1,1
Wed 10:30-12:00,,,,1,1,,1,1,1,,,1,1,,1,1,1,1,1
Wed 1:30-3:00,,,,,1,1,,1,,1,1,1,1,,,1,,1,1
Wed 3:00-4:30,,,,,1,1,1,1,1,,1,1,,1,,1,,1,1
Thu 9:00-10.30,,,1,,,,,1,,1,,,1,1,,,,1,1
Thu 10:30-12:00,,,1,1,1,,1,1,,1,,,,1,,1,,1,1
Thu 1:30-3:00,,,1,1,1,,1,1,1,1,,,,1,,1,1,1,1
Thu 3:00-4:30,,,1,,,,,,1,1,,,,,1,1,1,1,1
Fri 9:00-10.30,,,1,1,1,1,1,1,,,1,,,,1,,,1,1
Fri 10:30-12:00,,,1,1,1,,1,1,,,,1,,,1,,,1,1
Fri 1:30-3:00,,,1,1,1,,,1,,1,1,1,1,,,,,1,1
Fri 3:00-4:30,,,,,,,,,,1,1,,1,,,,,1,1
