,Ayanna Howard,Ron Arkin,Henrik Christensen,Panos Tsiotras,Patricio Vela,Magnus Egerstedt,Fumin Zhang,Charles Isbell,Karen Feigh,Jun Ueda,Frank Dellaert,Andrea Thomaz,Wayne Book,Harvey Lipkin,Charlie Kemp,Mike Stilman,Jeff Shamma
Mon 9:00 AM - 10:30 AM,1,,1,1,1,1,,1,,,1,,,1,1,,1
Mon 10:30 AM - 12:00 PM,1,,1,1,1,,1,,,1,1,1,1,,1,1,
Mon 12:00 PM - 1:30 PM,1,1,,,1,1,1,,,1,1,1,1,1,1,1,1
Mon 1:30 PM - 3:00 PM,1,1,,,1,1,1,1,,1,1,1,1,1,,1,1
Mon 3:00 PM - 4:30 PM,1,,1,1,1,,1,1,,1,1,1,1,1,,1,1
Tue 9:00 AM - 10:30 AM,1,,1,1,,1,,1,,,1,,,1,,,1
Tue 10:30 AM - 12:00 PM,1,,1,1,,1,1,1,,1,1,1,,1,,1,
Tue 12:00 PM - 1:30 PM,1,1,1,1,,1,1,1,1,,1,1,,1,,,
Tue 1:30 PM - 3:00 PM,,1,,1,,,1,,1,1,1,1,,1,,1,
Tue 3:00 PM - 4:30 PM,,,1,1,,1,1,,,1,,1,,1,,,
Wed 9:00 AM - 10:30 AM,,,1,1,1,1,,1,1,,1,,,1,1,1,
Wed 10:30 AM - 12:00 PM,,,1,1,1,1,1,1,,1,1,1,,,1,,
Wed 12:00 PM - 1:30 PM,1,,,1,1,1,,1,,1,1,,,1,1,,
Wed 1:30 PM - 3:00 PM,,,1,,1,1,,1,,1,1,,,1,1,1,
Wed 3:00 PM - 4:30 PM,,,1,1,1,1,1,1,,1,,,,,1,,1
Thu 9:00 AM - 10:30 AM,1,,1,1,1,,,,,,1,,,1,1,,1
Thu 10:30 AM - 12:00 PM,,,1,1,1,,1,,,1,1,1,,1,,1,
Thu 12:00 PM - 1:30 PM,,1,1,1,,,1,,1,,1,1,,1,,,
Thu 1:30 PM - 3:00 PM,,,1,1,,,1,,1,1,1,1,,1,,1,
Thu 3:00 PM - 4:30 PM,1,,1,1,,,1,,,1,,1,,,,1,
Fri 9:00 AM - 10:30 AM,1,,1,1,,,,1,,,1,,,1,,,
Fri 10:30 AM - 12:00 PM,,,1,1,1,,1,1,,1,1,1,,,1,1,
Fri 12:00 PM - 1:30 PM,1,,1,1,1,,1,,,1,1,,,1,1,1,
Fri 1:30 PM - 3:00 PM,1,,1,1,,,,,,1,1,,,1,,1,
Fri 3:00 PM - 4:30 PM,,,1,1,1,,,,,1,1,,,1,,,
